Year;Mes;Continent;Country_name;Code_target_class;Desc_target_class;ProblemasQC;Author_processed_Conocido;Author_processed_Desconocido;Code_attack_class_>1;Code_attack_class_CC;Code_attack_class_CE;Code_attack_class_CW;Code_attack_class_H;Code_attack_class_UK;NumeroAtaques
2017;2;América;Estados Unidos de América;C;Manufacturing;False;0;3;0;3;0;0;0;0;3
2017;2;América;Estados Unidos de América;G;Wholesale and retail trade;False;0;2;0;2;0;0;0;0;2
2017;2;América;Estados Unidos de América;I;Accommodation and food service activities;False;0;3;0;3;0;0;0;0;3
2017;2;América;Estados Unidos de América;J;Information and communication;False;2;1;0;2;1;0;0;0;3
2017;2;América;Estados Unidos de América;M;Professional scientific and technical activities;False;0;1;0;1;0;0;0;0;1
2017;2;América;Estados Unidos de América;N;Administrative and support service activities;False;1;1;0;1;0;0;1;0;2
2017;2;América;Estados Unidos de América;O;Public administration and defence, compulsory social security;False;0;4;0;4;0;0;0;0;4
2017;2;América;Estados Unidos de América;P;Education;False;0;2;0;2;0;0;0;0;2
2017;2;América;Estados Unidos de América;Q;Human health and social work activities;False;0;4;0;4;0;0;0;0;4
2017;2;América;Estados Unidos de América;R;Arts entertainment and recreation;False;1;0;0;1;0;0;0;0;1
2017;2;América;México;Q;Human health and social work activities;False;0;1;0;0;1;0;0;0;1
2017;2;Asia;Arabia Saudita;Y;Multiple Industries;False;0;1;0;1;0;0;0;0;1
2017;2;Asia;China;R;Arts entertainment and recreation;False;0;1;0;1;0;0;0;0;1
2017;2;Asia;Corea del Sur;H;Transportation and storage;False;1;0;0;0;0;0;1;0;1
2017;2;Asia;Corea del Sur;O;Public administration and defence, compulsory social security;False;0;1;0;0;1;0;0;0;1
2017;2;Asia;India;C;Manufacturing;False;0;1;0;0;1;0;0;0;1
2017;2;Asia;India;K;Financial and insurance activities;False;0;1;0;1;0;0;0;0;1
2017;2;Asia;Israel;O;Public administration and defence, compulsory social security;False;0;1;0;0;1;0;0;0;1
2017;2;Asia;Japón;Y;Multiple Industries;False;0;1;0;0;1;0;0;0;1
2017;2;Asia;Singapur;O;Public administration and defence, compulsory social security;False;0;1;0;0;1;0;0;0;1
2017;2;Asia;Taiwán;O;Public administration and defence, compulsory social security;False;0;1;0;0;1;0;0;0;1
2017;2;Australia y Oceanía;Australia;X;Individual;False;0;1;0;1;0;0;0;0;1
2017;2;Desconocido;Desconocido;J;Information and communication;False;0;1;0;0;0;0;1;0;1
2017;2;Desconocido;Desconocido;V;Fintech;False;0;2;0;2;0;0;0;0;2
2017;2;Desconocido;Desconocido;X;Individual;False;0;1;0;0;1;0;0;0;1
2017;2;Europa;Austria;O;Public administration and defence, compulsory social security;False;1;0;0;0;0;0;1;0;1
2017;2;Europa;Francia;X;Individual;False;0;1;0;0;0;1;0;0;1
2017;2;Europa;Irlanda;M;Professional scientific and technical activities;False;0;1;0;1;0;0;0;0;1
2017;2;Europa;Irlanda;O;Public administration and defence, compulsory social security;False;0;1;0;0;0;0;1;0;1
2017;2;Europa;Italia;O;Public administration and defence, compulsory social security;False;0;1;0;0;1;0;0;0;1
2017;2;Europa;Luxemburgo;O;Public administration and defence, compulsory social security;False;0;1;0;1;0;0;0;0;1
2017;2;Europa;Montenegro;O;Public administration and defence, compulsory social security;False;0;1;0;0;0;1;0;0;1
2017;2;Europa;Noruega;O;Public administration and defence, compulsory social security;False;1;0;0;0;1;0;0;0;1
2017;2;Europa;Reino Unido;G;Wholesale and retail trade;False;0;1;0;1;0;0;0;0;1
2017;2;Europa;Reino Unido;J;Information and communication;False;0;1;0;1;0;0;0;0;1
2017;2;Europa;Reino Unido;O;Public administration and defence, compulsory social security;False;0;2;0;1;0;1;0;0;2
2017;2;Europa;Reino Unido;Q;Human health and social work activities;False;1;0;0;0;0;0;1;0;1
2017;2;Europa;Reino Unido;R;Arts entertainment and recreation;False;0;1;0;1;0;0;0;0;1
2017;2;Europa;Reino Unido;Y;Multiple Industries;False;1;0;0;1;0;0;0;0;1
2017;2;Europa;Ucrania;O;Public administration and defence, compulsory social security;False;2;0;0;0;1;1;0;0;2
2017;2;International;International;C;Manufacturing;False;1;0;0;0;1;0;0;0;1
2017;2;International;International;J;Information and communication;False;1;0;0;1;0;0;0;0;1
2017;2;International;International;K;Financial and insurance activities;False;2;0;0;2;0;0;0;0;2
2017;2;International;International;O;Public administration and defence, compulsory social security;False;0;1;0;0;1;0;0;0;1
2017;2;International;International;X;Individual;False;3;1;0;2;2;0;0;0;4
2017;2;International;International;Y;Multiple Industries;False;1;4;0;4;1;0;0;0;5
2017;3;América;Brasil;R;Arts entertainment and recreation;False;0;1;0;0;0;0;1;0;1
2017;3;América;Canadá;I;Accommodation and food service activities;False;0;1;0;1;0;0;0;0;1
2017;3;América;Canadá;O;Public administration and defence, compulsory social security;False;0;1;0;1;0;0;0;0;1
2017;3;América;Estados Unidos de América;E;Water supply, sewerage waste management, and remediation activities;False;0;1;0;1;0;0;0;0;1
2017;3;América;Estados Unidos de América;J;Information and communication;False;1;4;0;5;0;0;0;0;5
2017;3;América;Estados Unidos de América;K;Financial and insurance activities;False;0;2;0;2;0;0;0;0;2
2017;3;América;Estados Unidos de América;M;Professional scientific and technical activities;False;0;1;0;1;0;0;0;0;1
2017;3;América;Estados Unidos de América;N;Administrative and support service activities;False;0;3;0;3;0;0;0;0;3
2017;3;América;Estados Unidos de América;O;Public administration and defence, compulsory social security;False;0;4;0;4;0;0;0;0;4
2017;3;América;Estados Unidos de América;P;Education;False;0;8;0;8;0;0;0;0;8
2017;3;América;Estados Unidos de América;Q;Human health and social work activities;False;0;1;0;1;0;0;0;0;1
2017;3;América;Estados Unidos de América;R;Arts entertainment and recreation;False;1;1;0;1;0;0;1;0;2
2017;3;América;Estados Unidos de América;S;Other service activities;False;0;1;0;1;0;0;0;0;1
2017;3;América;México;S;Other service activities;False;0;1;0;1;0;0;0;0;1
2017;3;Asia;Arabia Saudita;O;Public administration and defence, compulsory social security;False;0;1;0;0;1;0;0;0;1
2017;3;Asia;China;X;Individual;False;0;1;0;1;0;0;0;0;1
2017;3;Asia;Corea del Sur;G;Wholesale and retail trade;False;0;1;0;1;0;0;0;0;1
2017;3;Asia;Japón;K;Financial and insurance activities;False;0;1;0;1;0;0;0;0;1
2017;3;Asia;Taiwán;C;Manufacturing;False;0;1;0;1;0;0;0;0;1
2017;3;Asia;Turquía;Y;Multiple Industries;False;0;1;0;1;0;0;0;0;1
2017;3;Australia y Oceanía;Australia;P;Education;False;0;1;0;1;0;0;0;0;1
2017;3;Desconocido;Desconocido;J;Information and communication;False;0;1;0;0;1;0;0;0;1
2017;3;Europa;Alemania;O;Public administration and defence, compulsory social security;False;0;1;0;0;1;0;0;0;1
2017;3;Europa;Dinamarca;X;Individual;False;0;1;0;1;0;0;0;0;1
2017;3;Europa;Países Bajos;O;Public administration and defence, compulsory social security;False;0;1;0;1;0;0;0;0;1
2017;3;Europa;Países Bajos;Y;Multiple Industries;False;0;1;0;0;0;0;1;0;1
2017;3;Europa;Reino Unido;I;Accommodation and food service activities;False;0;1;0;1;0;0;0;0;1
2017;3;Europa;Reino Unido;Q;Human health and social work activities;False;0;1;0;1;0;0;0;0;1
2017;3;Europa;Reino Unido;X;Individual;False;0;1;0;1;0;0;0;0;1
2017;3;Europa;Rusia;K;Financial and insurance activities;False;0;1;0;1;0;0;0;0;1
2017;3;International;International;J;Information and communication;False;1;1;0;2;0;0;0;0;2
2017;3;International;International;O;Public administration and defence, compulsory social security;False;1;1;0;1;1;0;0;0;2
2017;3;International;International;V;Fintech;False;0;1;0;1;0;0;0;0;1
2017;3;International;International;X;Individual;False;0;8;0;7;1;0;0;0;8
2017;3;International;International;Y;Multiple Industries;False;0;3;0;2;1;0;0;0;3
2017;3;África;Kenia;O;Public administration and defence, compulsory social security;False;0;1;0;1;0;0;0;0;1
2017;4;América;Brasil;K;Financial and insurance activities;False;0;1;0;1;0;0;0;0;1
2017;4;América;Estados Unidos de América;C;Manufacturing;False;0;3;0;3;0;0;0;0;3
2017;4;América;Estados Unidos de América;G;Wholesale and retail trade;False;0;1;0;1;0;0;0;0;1
2017;4;América;Estados Unidos de América;I;Accommodation and food service activities;False;0;2;0;2;0;0;0;0;2
2017;4;América;Estados Unidos de América;J;Information and communication;False;2;6;0;8;0;0;0;0;8
2017;4;América;Estados Unidos de América;K;Financial and insurance activities;False;1;0;0;1;0;0;0;0;1
2017;4;América;Estados Unidos de América;M;Professional scientific and technical activities;False;0;1;0;1;0;0;0;0;1
2017;4;América;Estados Unidos de América;O;Public administration and defence, compulsory social security;False;2;6;0;6;2;0;0;0;8
2017;4;América;Estados Unidos de América;P;Education;False;0;6;0;6;0;0;0;0;6
2017;4;América;Estados Unidos de América;Q;Human health and social work activities;False;0;5;0;5;0;0;0;0;5
2017;4;América;Estados Unidos de América;R;Arts entertainment and recreation;False;1;1;0;2;0;0;0;0;2
2017;4;América;Estados Unidos de América;X;Individual;False;0;1;0;1;0;0;0;0;1
2017;4;Asia;China;J;Information and communication;False;0;1;0;1;0;0;0;0;1
2017;4;Asia;China;R;Arts entertainment and recreation;False;0;1;0;1;0;0;0;0;1
2017;4;Asia;Corea del Norte;O;Public administration and defence, compulsory social security;False;1;0;0;0;0;1;0;0;1
2017;4;Asia;Corea del Sur;O;Public administration and defence, compulsory social security;False;0;1;0;0;1;0;0;0;1
2017;4;Asia;Corea del Sur;V;Fintech;False;0;1;0;1;0;0;0;0;1
2017;4;Asia;India;K;Financial and insurance activities;False;1;0;0;1;0;0;0;0;1
2017;4;Asia;Israel;O;Public administration and defence, compulsory social security;False;1;0;0;1;0;0;0;0;1
2017;4;Asia;Japón;Y;Multiple Industries;False;0;1;0;0;1;0;0;0;1
2017;4;Australia y Oceanía;Australia;J;Information and communication;False;0;1;0;1;0;0;0;0;1
2017;4;Desconocido;Desconocido;S;Other service activities;False;1;0;0;0;0;0;1;0;1
2017;4;Desconocido;Desconocido;U;Activities of extraterritorial organizations and bodies;False;1;0;0;0;1;0;0;0;1
2017;4;Desconocido;Desconocido;X;Individual;False;0;1;0;0;0;0;1;0;1
2017;4;Desconocido;Desconocido;Z;Unknown;False;0;1;0;0;1;0;0;0;1
2017;4;Europa;Alemania;N;Administrative and support service activities;False;1;0;0;0;1;0;0;0;1
2017;4;Europa;Alemania;O;Public administration and defence, compulsory social security;False;0;1;0;0;1;0;0;0;1
2017;4;Europa;Dinamarca;O;Public administration and defence, compulsory social security;False;1;0;0;0;1;0;0;0;1
2017;4;Europa;Francia;X;Individual;False;1;0;0;0;1;0;0;0;1
2017;4;Europa;Lituania;Q;Human health and social work activities;False;1;0;0;1;0;0;0;0;1
2017;4;Europa;Reino Unido;K;Financial and insurance activities;False;0;2;0;2;0;0;0;0;2
2017;4;Europa;Reino Unido;N;Administrative and support service activities;False;0;1;0;1;0;0;0;0;1
2017;4;Europa;Reino Unido;P;Education;False;1;1;0;2;0;0;0;0;2
2017;4;International;International;K;Financial and insurance activities;False;0;1;0;1;0;0;0;0;1
2017;4;International;International;O;Public administration and defence, compulsory social security;False;2;0;0;0;2;0;0;0;2
2017;4;International;International;S;Other service activities;False;1;0;0;0;1;0;0;0;1
2017;4;International;International;X;Individual;False;2;12;0;12;1;0;1;0;14
2017;4;International;International;Y;Multiple Industries;False;1;4;0;1;4;0;0;0;5
2017;5;América;Canadá;J;Information and communication;False;0;1;0;1;0;0;0;0;1
2017;5;América;Estados Unidos de América;C;Manufacturing;False;0;1;0;1;0;0;0;0;1
2017;5;América;Estados Unidos de América;G;Wholesale and retail trade;False;0;1;0;1;0;0;0;0;1
2017;5;América;Estados Unidos de América;I;Accommodation and food service activities;False;0;1;0;1;0;0;0;0;1
2017;5;América;Estados Unidos de América;J;Information and communication;False;0;7;0;7;0;0;0;0;7
2017;5;América;Estados Unidos de América;K;Financial and insurance activities;False;0;1;0;1;0;0;0;0;1
2017;5;América;Estados Unidos de América;N;Administrative and support service activities;False;0;2;0;1;1;0;0;0;2
2017;5;América;Estados Unidos de América;O;Public administration and defence, compulsory social security;False;0;5;0;3;2;0;0;0;5
2017;5;América;Estados Unidos de América;P;Education;False;1;6;0;7;0;0;0;0;7
2017;5;América;Estados Unidos de América;Q;Human health and social work activities;False;2;3;0;5;0;0;0;0;5
2017;5;América;Estados Unidos de América;R;Arts entertainment and recreation;False;0;1;0;1;0;0;0;0;1
2017;5;América;Estados Unidos de América;X;Individual;False;0;1;0;1;0;0;0;0;1
2017;5;Asia;India;J;Information and communication;False;1;0;0;1;0;0;0;0;1
2017;5;Asia;Qatar;J;Information and communication;False;0;1;0;1;0;0;0;0;1
2017;5;Asia;Singapur;P;Education;False;0;1;0;0;1;0;0;0;1
2017;5;Australia y Oceanía;Australia;J;Information and communication;False;0;1;0;1;0;0;0;0;1
2017;5;Australia y Oceanía;Australia;K;Financial and insurance activities;False;0;1;0;1;0;0;0;0;1
2017;5;Australia y Oceanía;Australia;P;Education;False;0;1;0;1;0;0;0;0;1
2017;5;Australia y Oceanía;Nueva Zelanda;P;Education;False;0;1;0;1;0;0;0;0;1
2017;5;Desconocido;Desconocido;Z;Unknown;False;0;1;0;0;1;0;0;0;1
2017;5;Europa;Alemania;X;Individual;False;0;1;0;1;0;0;0;0;1
2017;5;Europa;Francia;N;Administrative and support service activities;False;0;1;0;1;0;0;0;0;1
2017;5;Europa;Francia;S;Other service activities;False;0;1;0;1;0;0;0;0;1
2017;5;Europa;Francia;X;Individual;False;0;1;0;1;0;0;0;0;1
2017;5;Europa;Reino Unido;G;Wholesale and retail trade;False;0;2;0;2;0;0;0;0;2
2017;5;Europa;Reino Unido;K;Financial and insurance activities;False;0;1;0;1;0;0;0;0;1
2017;5;Europa;Reino Unido;O;Public administration and defence, compulsory social security;False;0;1;0;0;1;0;0;0;1
2017;5;Europa;Ucrania;O;Public administration and defence, compulsory social security;False;1;0;0;0;0;1;0;0;1
2017;5;International;International;D;Electricity gas steam and air conditioning supply;False;1;0;0;0;0;1;0;0;1
2017;5;International;International;X;Individual;False;2;6;0;6;2;0;0;0;8
2017;5;International;International;Y;Multiple Industries;False;2;6;0;2;6;0;0;0;8
2017;6;América;Argentina;O;Public administration and defence, compulsory social security;False;0;1;0;0;0;0;1;0;1
2017;6;América;Canadá;Y;Multiple Industries;False;1;0;0;1;0;0;0;0;1
2017;6;América;Estados Unidos de América;C;Manufacturing;False;0;1;0;1;0;0;0;0;1
2017;6;América;Estados Unidos de América;D;Electricity gas steam and air conditioning supply;False;0;1;0;0;0;1;0;0;1
2017;6;América;Estados Unidos de América;G;Wholesale and retail trade;False;0;1;0;1;0;0;0;0;1
2017;6;América;Estados Unidos de América;I;Accommodation and food service activities;False;1;1;0;2;0;0;0;0;2
2017;6;América;Estados Unidos de América;J;Information and communication;False;1;5;0;6;0;0;0;0;6
2017;6;América;Estados Unidos de América;O;Public administration and defence, compulsory social security;False;2;5;0;1;0;4;2;0;7
2017;6;América;Estados Unidos de América;P;Education;False;1;3;0;3;0;0;1;0;4
2017;6;América;Estados Unidos de América;Q;Human health and social work activities;False;0;2;0;2;0;0;0;0;2
2017;6;América;Estados Unidos de América;R;Arts entertainment and recreation;False;1;1;0;2;0;0;0;0;2
2017;6;América;Estados Unidos de América;X;Individual;False;0;2;0;2;0;0;0;0;2
2017;6;América;Estados Unidos de América;Y;Multiple Industries;False;1;0;0;0;0;1;0;0;1
2017;6;América;México;X;Individual;False;1;0;0;0;1;0;0;0;1
2017;6;Asia;China;X;Individual;False;0;1;0;1;0;0;0;0;1
2017;6;Asia;Corea del Sur;J;Information and communication;False;0;2;0;2;0;0;0;0;2
2017;6;Asia;Corea del Sur;V;Fintech;False;0;1;0;1;0;0;0;0;1
2017;6;Asia;Hong kong;V;Fintech;False;0;1;0;1;0;0;0;0;1
2017;6;Asia;India;K;Financial and insurance activities;False;0;1;0;1;0;0;0;0;1
2017;6;Asia;Israel;Q;Human health and social work activities;False;0;1;0;0;1;0;0;0;1
2017;6;Asia;Qatar;J;Information and communication;False;0;1;0;1;0;0;0;0;1
2017;6;Asia;Vietnam;X;Individual;False;1;0;0;0;1;0;0;0;1
2017;6;Desconocido;Desconocido;V;Fintech;False;0;1;0;1;0;0;0;0;1
2017;6;Europa;Italia;J;Information and communication;False;0;1;0;1;0;0;0;0;1
2017;6;Europa;Italia;Y;Multiple Industries;False;0;1;0;1;0;0;0;0;1
2017;6;Europa;Montenegro;O;Public administration and defence, compulsory social security;False;1;0;0;0;0;1;0;0;1
2017;6;Europa;Polonia;R;Arts entertainment and recreation;False;0;1;0;1;0;0;0;0;1
2017;6;Europa;Reino Unido;O;Public administration and defence, compulsory social security;False;0;2;0;2;0;0;0;0;2
2017;6;Europa;Reino Unido;P;Education;False;0;2;0;2;0;0;0;0;2
2017;6;Europa;Reino Unido;X;Individual;False;1;0;0;1;0;0;0;0;1
2017;6;Europa;Rusia;V;Fintech;False;0;1;0;1;0;0;0;0;1
2017;6;Europa;Ucrania;Y;Multiple Industries;False;0;2;0;0;0;2;0;0;2
2017;6;International;International;X;Individual;False;0;3;0;3;0;0;0;0;3
2017;6;International;International;Y;Multiple Industries;False;5;2;0;3;3;1;0;0;7
2017;7;América;Canadá;G;Wholesale and retail trade;False;0;1;0;1;0;0;0;0;1
2017;7;América;Canadá;H;Transportation and storage;False;0;1;0;1;0;0;0;0;1
2017;7;América;Canadá;Z;Unknown;False;0;1;0;1;0;0;0;0;1
2017;7;América;Estados Unidos de América;C;Manufacturing;False;0;1;0;1;0;0;0;0;1
2017;7;América;Estados Unidos de América;H;Transportation and storage;False;0;1;0;1;0;0;0;0;1
2017;7;América;Estados Unidos de América;I;Accommodation and food service activities;False;1;4;0;5;0;0;0;0;5
2017;7;América;Estados Unidos de América;J;Information and communication;False;0;4;0;4;0;0;0;0;4
2017;7;América;Estados Unidos de América;K;Financial and insurance activities;False;0;1;0;1;0;0;0;0;1
2017;7;América;Estados Unidos de América;L;Real estate activities;False;0;1;0;1;0;0;0;0;1
2017;7;América;Estados Unidos de América;O;Public administration and defence, compulsory social security;False;1;3;0;2;0;1;1;0;4
2017;7;América;Estados Unidos de América;Q;Human health and social work activities;False;0;6;0;6;0;0;0;0;6
2017;7;América;Estados Unidos de América;R;Arts entertainment and recreation;False;0;2;0;2;0;0;0;0;2
2017;7;América;Estados Unidos de América;V;Fintech;False;0;2;0;2;0;0;0;0;2
2017;7;América;Estados Unidos de América;X;Individual;False;2;2;0;4;0;0;0;0;4
2017;7;Asia;China;Y;Multiple Industries;False;1;0;0;0;1;0;0;0;1
2017;7;Asia;India;J;Information and communication;False;0;2;0;2;0;0;0;0;2
2017;7;Asia;Japón;R;Arts entertainment and recreation;False;0;1;0;1;0;0;0;0;1
2017;7;Australia y Oceanía;Australia;Q;Human health and social work activities;False;0;1;0;1;0;0;0;0;1
2017;7;Desconocido;Desconocido;G;Wholesale and retail trade;False;0;1;0;1;0;0;0;0;1
2017;7;Europa;Alemania;X;Individual;False;0;1;0;1;0;0;0;0;1
2017;7;Europa;Francia;J;Information and communication;False;0;1;0;1;0;0;0;0;1
2017;7;Europa;Francia;O;Public administration and defence, compulsory social security;False;0;1;0;0;1;0;0;0;1
2017;7;Europa;Italia;K;Financial and insurance activities;False;0;1;0;1;0;0;0;0;1
2017;7;Europa;Reino Unido;D;Electricity gas steam and air conditioning supply;False;0;2;0;0;0;2;0;0;2
2017;7;Europa;Reino Unido;J;Information and communication;False;0;1;0;1;0;0;0;0;1
2017;7;Europa;Reino Unido;O;Public administration and defence, compulsory social security;False;0;1;0;1;0;0;0;0;1
2017;7;Europa;Reino Unido;P;Education;False;0;1;0;1;0;0;0;0;1
2017;7;Europa;Reino Unido;X;Individual;False;0;1;0;1;0;0;0;0;1
2017;7;Europa;Suiza;K;Financial and insurance activities;False;0;1;0;1;0;0;0;0;1
2017;7;International;International;D;Electricity gas steam and air conditioning supply;False;0;1;0;0;1;0;0;0;1
2017;7;International;International;K;Financial and insurance activities;False;0;1;0;1;0;0;0;0;1
2017;7;International;International;X;Individual;False;1;12;0;11;2;0;0;0;13
2017;7;International;International;Y;Multiple Industries;False;2;1;0;1;2;0;0;0;3
2017;8;América;Canadá;P;Education;False;0;1;0;1;0;0;0;0;1
2017;8;América;Estados Unidos de América;J;Information and communication;False;1;3;0;3;0;0;1;0;4
2017;8;América;Estados Unidos de América;O;Public administration and defence, compulsory social security;False;1;4;0;2;1;0;2;0;5
2017;8;América;Estados Unidos de América;P;Education;False;0;1;0;1;0;0;0;0;1
2017;8;América;Estados Unidos de América;Q;Human health and social work activities;False;0;5;0;5;0;0;0;0;5
2017;8;América;Estados Unidos de América;R;Arts entertainment and recreation;False;1;1;0;2;0;0;0;0;2
2017;8;América;Estados Unidos de América;V;Fintech;False;0;2;0;2;0;0;0;0;2
2017;8;América;Estados Unidos de América;X;Individual;False;0;5;0;5;0;0;0;0;5
2017;8;América;Venezuela;O;Public administration and defence, compulsory social security;False;1;0;0;0;0;0;1;0;1
2017;8;Asia;Armenia;O;Public administration and defence, compulsory social security;False;1;0;0;0;0;1;0;0;1
2017;8;Asia;China;D;Electricity gas steam and air conditioning supply;False;0;1;0;1;0;0;0;0;1
2017;8;Asia;China;J;Information and communication;False;0;1;0;1;0;0;0;0;1
2017;8;Asia;Corea del Norte;Y;Multiple Industries;False;0;1;0;0;0;1;0;0;1
2017;8;Asia;Corea del Sur;C;Manufacturing;False;0;1;0;1;0;0;0;0;1
2017;8;Asia;Corea del Sur;J;Information and communication;False;0;1;0;0;1;0;0;0;1
2017;8;Asia;Corea del Sur;V;Fintech;False;0;1;0;0;0;1;0;0;1
2017;8;Asia;Corea del Sur;X;Individual;False;0;1;0;1;0;0;0;0;1
2017;8;Asia;Israel;X;Individual;False;0;1;0;1;0;0;0;0;1
2017;8;Asia;Japón;R;Arts entertainment and recreation;False;0;1;0;1;0;0;0;0;1
2017;8;Asia;Malasia;Y;Multiple Industries;False;0;1;0;0;0;1;0;0;1
2017;8;Asia;Pakistán;O;Public administration and defence, compulsory social security;False;1;0;0;0;0;1;0;0;1
2017;8;Asia;Vietnam;O;Public administration and defence, compulsory social security;False;0;1;0;0;0;1;0;0;1
2017;8;Europa;Alemania;O;Public administration and defence, compulsory social security;False;0;1;0;1;0;0;0;0;1
2017;8;Europa;España;R;Arts entertainment and recreation;False;2;0;0;2;0;0;0;0;2
2017;8;Europa;Francia;S;Other service activities;False;0;1;0;1;0;0;0;0;1
2017;8;Europa;Hungría;K;Financial and insurance activities;False;0;1;0;1;0;0;0;0;1
2017;8;Europa;Reino Unido;C;Manufacturing;False;0;1;0;1;0;0;0;0;1
2017;8;Europa;Reino Unido;G;Wholesale and retail trade;False;0;1;0;1;0;0;0;0;1
