id;date;author;target;description;attack;target_class;attack_class;country;link;author_report;date_report;views
14;17/02/2020;?;Single Individuals;The World Health Organization (WHO) warns of ongoing Coronavirus-themed phishing attacks that impersonate the organization with the end goal of stealing information and delivering malware.;Malicious Spam;X Individual;CC;>1;https://www.bleepingcomputer.com/news/security/zero-day-in-wordpress-plugin-exploited-to-create-admin-accounts/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
15;17/02/2020;?;Instagram users in Russia;A large-scale phishing campaign is running on Instagram to bait Russians with a fake presidential decree that promises a lump-sum payment for a citizen to start their own business.;Account Hijacking;X Individual;CC;RU;https://www.bleepingcomputer.com/news/security/zero-day-in-wordpress-plugin-exploited-to-create-admin-accounts/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
16;17/02/2020;?;Rabun County;The Rabun County is hit with a ransomware attack.;Malware;O Public administration and defence, compulsory social security;CC;US;https://www.bleepingcomputer.com/news/security/zero-day-in-wordpress-plugin-exploited-to-create-admin-accounts/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
17;17/02/2020;?;East House;East House provide notices of a phishing attack occurred on July 25, 2019.;Account Hijacking;Q Human health and social work activities;CC;US;https://www.bleepingcomputer.com/news/security/zero-day-in-wordpress-plugin-exploited-to-create-admin-accounts/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
18;17/02/2020;?;Monroe County Hospital & Clinics;More than 7,000 patients of Monroe County Hospital & Clinics are notified that their personal information may have been leaked in a phishing attack occurred on December 2019.;Account Hijacking;Q Human health and social work activities;CC;US;https://www.bleepingcomputer.com/news/security/zero-day-in-wordpress-plugin-exploited-to-create-admin-accounts/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
19;18/02/2020;?;Undisclosed natural gas compression facility;The Cybersecurity and Infrastructure Security Agency (CISA) alerts organizations across all critical U.S. infrastructure sectors about a recent ransomware attack that affected a natural gas compression facility.;Malware;D Electricity gas steam and air conditioning supply;CC;US;https://www.bleepingcomputer.com/news/security/zero-day-in-wordpress-plugin-exploited-to-create-admin-accounts/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
20;18/02/2020;?;Vulnerable Wordpress sites;Researchers from Wordfence reveal that a zero-day vulnerability in the ThemeREX Addons, a WordPress plugin installed on thousands of sites, is actively exploited by attackers to create user accounts with admin permissions and potentially fully taking over the vulnerable website.;Wordpress plugins vulnerabilities;Y Multiple Industries;CC;>1;https://www.bleepingcomputer.com/news/security/zero-day-in-wordpress-plugin-exploited-to-create-admin-accounts/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
21;18/02/2020;?;ProtonVPN users;Researchers from Kaspersky discover a fake ProtonVPN website used since November 2019 to deliver the AZORult information-stealing malware to potential victims in the form of fake ProtonVPN installers.;Malware;X Individual;CC;>1;https://securityaffairs.co/wordpress/98124/cyber-crime/uncovering-new-magecart-implant.html;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
22;18/02/2020;?;Windows users in Italy;Threat actors are distributing the Dharma Ransomware in a new spam campaign targeting Windows users in Italy.   ;Malware;X Individual;CC;IT;https://securityaffairs.co/wordpress/98124/cyber-crime/uncovering-new-magecart-implant.html;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
23;18/02/2020;?;Government Data Center in Rwanda;A Rwandan data centre that hosts servers related to the country’s government is taken down by hackers.;DDoS;O Public administration and defence, compulsory social security;CC;RW;https://securityaffairs.co/wordpress/98124/cyber-crime/uncovering-new-magecart-implant.html;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
24;19/02/2020;?;MGM Resorts;The personal details of more than 10.6 million users who stayed at MGM Resorts hotels have been published on a hacking forum this week.;Cloud Misconfiguration;I Accommodation and food service activities;CC;US;https://securityaffairs.co/wordpress/98124/cyber-crime/uncovering-new-magecart-implant.html;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
25;19/02/2020;DRBControl;Gambling companies located in Southeast Asia, Europe and the Middle East;Researchers from Trend Micro and Talent-Jump reveal the details of DRBControl, a criminal organization focused on gambling companies.;Targeted Attack;R Arts entertainment and recreation;CC;>1;https://securityaffairs.co/wordpress/98124/cyber-crime/uncovering-new-magecart-implant.html;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
26;19/02/2020;Exaggerated Lion;Thousands of U.S. companies;Researchers uncover a new business email compromise (BEC) threat actor, which they call Exaggerated Lion, targeting thousands of U.S. companies with money pilfering scams.;Business Email Compromise;Y Multiple Industries;CC;US;https://securityaffairs.co/wordpress/98124/cyber-crime/uncovering-new-magecart-implant.html;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
27;19/02/2020;?;US Taxpayers;Proofpoint researchers detect the first attacks in theme with the tax season carried out via tax-themed emails with malicious attachments, and legitimate tax-focused websites compromised to deliver malware;Malware;X Individual;CC;US;https://securityaffairs.co/wordpress/98124/cyber-crime/uncovering-new-magecart-implant.html;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
28;19/02/2020;?;Swiss companies;Switzerland’s Reporting and Analysis Centre for Information Assurance (MELANI) warns of ongoing ransomware attacks targeting the systems of Swiss small, medium-sized, and large companies.;Malware;Y Multiple Industries;CC;CH;https://securityaffairs.co/wordpress/98124/cyber-crime/uncovering-new-magecart-implant.html;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
29;19/02/2020;?;Multiple targets;"Researchers from Prevailion reveal the details of ""PHPs Labyrinth"", a campaign active since 2017, infecting more than 20,000 WordPress sites via malicious plugins.";Malicious Wordpress plugins;Y Multiple Industries;CC;>1;https://securityaffairs.co/wordpress/98124/cyber-crime/uncovering-new-magecart-implant.html;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
30;19/02/2020;?;Multiple targets;Security researcher Marco Ramilli discover a new batch of e-commerce sites compromised by a Magecart attack.;Malicious Script Injection;G Wholesale and retail trade;CC;>1;https://securityaffairs.co/wordpress/98124/cyber-crime/uncovering-new-magecart-implant.html;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
31;19/02/2020;?;Ministère de l’Éducation et de l’Enseignement Supérieur;The PII of at least 51,400, and possibly as many as 360,000 educators, in Quebec Province are exposed when a malicious actor obtained login credentials to the Ministère de l’Éducation et de l’Enseignement Supérieur network.;Unknown;O Public administration and defence, compulsory social security;CC;CA;https://www.databreaches.net/ca-vibrantcare-rehabilitation-notifies-patients-after-employee-email-account-compromised/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
32;19/02/2020;?;US Bank Customers;Researchers from IBM X-Force discover a new Emotet campaign spread via SMS messages pretending to be from banks and may have ties to the TrickBot trojan.;Malware;K Financial and insurance activities;CC;US;https://www.databreaches.net/ca-vibrantcare-rehabilitation-notifies-patients-after-employee-email-account-compromised/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
33;19/02/2020;?;Maroof International Hospital;Maroof International Hospital is hit with a severe ransomware attack;Malware;Q Human health and social work activities;CC;PK;https://www.databreaches.net/ca-vibrantcare-rehabilitation-notifies-patients-after-employee-email-account-compromised/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
34;19/02/2020;?;City of Wayne;The city of Wayne is hit with a ransomware attack.;Malware;O Public administration and defence, compulsory social security;CC;US;https://www.databreaches.net/ca-vibrantcare-rehabilitation-notifies-patients-after-employee-email-account-compromised/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
35;19/02/2020;?;United Regional Health Care System;United Regional Health Care System discloses an incident that occurred last July when someone accessed an employee email account. 2,000 individuals are affected.;Account Hijacking;P Education;CC;US;https://www.databreaches.net/ca-vibrantcare-rehabilitation-notifies-patients-after-employee-email-account-compromised/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
36;20/02/2020;?;Defence Information Systems Agency (DISA);The U.S. Defence Information Systems Agency reveals that Social Security numbers and other personal data in its network may have been compromised between May and July 2019;Unknown;O Public administration and defence, compulsory social security;CC;US;https://www.databreaches.net/ca-vibrantcare-rehabilitation-notifies-patients-after-employee-email-account-compromised/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
37;20/02/2020;?;Targets in Southeast Asia;Researchers from Cisco Talos uncover a new campaign, carried out via a remote access tool dubbed ObliqueRAT, focused on targets in Southeast Asia. ;Targeted Attack;Y Multiple Industries;CE;>1;https://www.databreaches.net/ca-vibrantcare-rehabilitation-notifies-patients-after-employee-email-account-compromised/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
38;20/02/2020;?;IIT Madras;IIT Madras is hit with the GlobeImposter ransomware.;Malware;P Education;CC;IN;https://www.databreaches.net/ca-vibrantcare-rehabilitation-notifies-patients-after-employee-email-account-compromised/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
39;20/02/2020;?;Nine websites;Security researchers discover a new batch of nine websites infected with malicious JavaScript that steals payment card info from online shoppers.;Malicious Script Injection;G Wholesale and retail trade;CC;>1;https://www.databreaches.net/ca-vibrantcare-rehabilitation-notifies-patients-after-employee-email-account-compromised/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
40;20/02/2020;?;VibrantCare Rehabilitation;VibrantCare Rehabilitation notifies 1,655 patients after an employee’s email account is accessed.;Account Hijacking;Q Human health and social work activities;CC;US;https://www.databreaches.net/ca-vibrantcare-rehabilitation-notifies-patients-after-employee-email-account-compromised/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
41;20/02/2020;?;San Felipe Del Rio CISD;A business email compromise targets the San Felipe Del Rio CISD.;Business Email Compromise;P Education;CC;US;https://www.databreaches.net/ms-fbi-investigating-after-jackson-public-schools-computer-system-hacked/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
42;20/02/2020;?;South Adams Schools district;The South Adams Schools district is hit with a ransomware attack.;Malware;P Education;CC;US;https://www.databreaches.net/ms-fbi-investigating-after-jackson-public-schools-computer-system-hacked/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
43;21/02/2020;?;Android users;Security researchers from Check Point discover a new mobile threat called Haken, hidden in 8 applications.;Malware;X Individual;CC;>1;https://www.databreaches.net/ms-fbi-investigating-after-jackson-public-schools-computer-system-hacked/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
44;21/02/2020;Lynx;Slickwraps;Slickwraps suffers a data breach after an individual is able to access their systems and after receiving no response to emails, publicly discloses how the access to the site was gained and the data that was exposed.;Path traversal vulnerability;C Manufacturing;CC;US;https://www.databreaches.net/ms-fbi-investigating-after-jackson-public-schools-computer-system-hacked/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
45;21/02/2020;?;Reading Municipal Light Department (RMLD);The Reading Municipal Light Department (RMLD), an electric utility in Massachusetts, announces it was hit by a ransomware attack.;Malware;D Electricity gas steam and air conditioning supply;CC;US;https://www.databreaches.net/ms-fbi-investigating-after-jackson-public-schools-computer-system-hacked/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
46;21/02/2020;Pakistan?;Indian diplomats and military personnel in some embassies;Researchers from Cybaze-Yoroi ZLab discover that operation Transparent Tribe, allegedly carried out by Pakistan against Indian targets is back after four years.;Targeted Attack;O Public administration and defence, compulsory social security;CE;IN;https://www.databreaches.net/ms-fbi-investigating-after-jackson-public-schools-computer-system-hacked/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
47;21/02/2020;?;Multiple targets;Researchers from Cofense discover an uptick in phishing attempts using a fake and badly created Office 365 credentials update form.;Account Hijacking;Y Multiple Industries;CC;>1;https://www.databreaches.net/ms-fbi-investigating-after-jackson-public-schools-computer-system-hacked/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
48;21/02/2020;?;Endeavor Energy Resources;Endeavor Energy Resources notifies employees and dependents after employee fell prey to phishing attack on January 14.;Account Hijacking;D Electricity gas steam and air conditioning supply;CC;US;https://www.databreaches.net/ms-fbi-investigating-after-jackson-public-schools-computer-system-hacked/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
49;21/02/2020;?;Moses Lake School District;The Moses Lake School District is hit by a ransomware attack.;Malware;P Education;CC;US;https://www.databreaches.net/ms-fbi-investigating-after-jackson-public-schools-computer-system-hacked/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
50;21/02/2020;?;Jackson Public Schools;Jackson Public Schools is hit with a ransomware attack.;Malware;P Education;CC;US;https://www.databreaches.net/ms-fbi-investigating-after-jackson-public-schools-computer-system-hacked/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
51;22/02/2020;?;Major cryptovalues investor;An unknown investor claims to have lost reported $45 million worth of cryptovalues In a SIM Swapping attack.;Account Hijacking;V Fintech;CC;N/A;https://securityaffairs.co/wordpress/98390/malware/lampion-malware-v2.html;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
52;22/02/2020;?;Single Individuals;Security research collective MalwareHunterTeam discover a 3-page Coronavirus-themed Microsoft Office document containing malicious macros, pretending to be from the Center for Public Health of the Ministry of Health of Ukraine, and designed to drop a backdoor malware with clipboard stealing, keylogging, and screenshot capabilities.;Malware;X Individual;CC;UA;https://securityaffairs.co/wordpress/98390/malware/lampion-malware-v2.html;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
53;23/02/2020;?;Mexico’s economy ministry;Mexico’s economy ministry detects a cyber attack on some of its servers.;Unknown;O Public administration and defence, compulsory social security;CC;MX;https://securityaffairs.co/wordpress/98390/malware/lampion-malware-v2.html;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
54;23/02/2020;?;Prince Edward Island ;Prince Edward Island reveals it was hit with a Maze ransomware attack.;Malware;O Public administration and defence, compulsory social security;CC;CA;https://securityaffairs.co/wordpress/98390/malware/lampion-malware-v2.html;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
55;23/02/2020;?;Total Quality Logistics (TQL) ;Total Quality Logistics confirms it was the victim of a data breach.;Unknown;N Administrative and support service activities;CC;US;https://securityaffairs.co/wordpress/98390/malware/lampion-malware-v2.html;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
56;24/02/2020;?;German PayPal users;According to multiple reports, a critical PayPal vulnerability is behind thefts over recent days from numerous German PayPal users (fraudulent transactions with U.S. stores). ;PayPal vulnerability;K Financial and insurance activities;CC;DE;https://securityaffairs.co/wordpress/98390/malware/lampion-malware-v2.html;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
57;24/02/2020;Magecart 12;40 websites;Security Researcher Max Kersten publishes a list of 40 websites targeted by the Magecart 12 group.;Malicious Script Injection;G Wholesale and retail trade;CC;>1;https://securityaffairs.co/wordpress/98390/malware/lampion-malware-v2.html;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
58;24/02/2020;?;Ordnance Survey;A hacker stole the personal data of 1,000 employees of the Ordnance Survey, the government-owned mapping agency for Britain. The breach occurred on January this year.;Unknown;O Public administration and defence, compulsory social security;CC;UK;https://securityaffairs.co/wordpress/98390/malware/lampion-malware-v2.html;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
59;24/02/2020;?;Multiple targets;Researchers from MalwareHunterTeam discover Mozart, a malware using DNS to communicate with its command and control and evade detection.;Malware;Y Multiple Industries;CC;>1;https://securityaffairs.co/wordpress/98390/malware/lampion-malware-v2.html;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
60;24/02/2020;?;Portuguese Banking users.;A new campaign carried out via the Lampion malware in disguise of a DPD email, is discovered targeting Portuguese users.;Malware;K Financial and insurance activities;CC;PT;https://securityaffairs.co/wordpress/98390/malware/lampion-malware-v2.html;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
61;24/02/2020;?;Pacific Specialty Insurance;Pacific Specialty Insurance notifies plan members of a phishing attack that occurred in March, 2019;Account Hijacking;K Financial and insurance activities;CC;US;https://securityaffairs.co/wordpress/98614/cyber-crime/nrc-health-ransomware.html;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
62;24/02/2020;?;Grayson County;Grayson County is hit with a ransomware attack.;Malware;O Public administration and defence, compulsory social security;CC;US;https://securityaffairs.co/wordpress/98614/cyber-crime/nrc-health-ransomware.html;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
63;24/02/2020;?;Transavia;The data of 80,000 Transavia passengers are compromised after a phishing attack.;Account Hijacking;H Transportation and storage;CC;NL;https://securityaffairs.co/wordpress/98614/cyber-crime/nrc-health-ransomware.html;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
64;24/02/2020;?;Transmit Security;Transmit Security is breached after a security researcher contacts some of its customers and reports unauthorized access to the data.;Unknown;M Professional scientific and technical activities;CC;IL;https://securityaffairs.co/wordpress/98614/cyber-crime/nrc-health-ransomware.html;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
65;25/02/2020;?;Multiple targets;Google releases a Chrome update to address three security bugs, including CVE-2020-6418, a zero-day vulnerability actively exploited in the wild.;Google Chrome Vulnerability (CVE-2020-6418);Y Multiple Industries;CC;>1;https://securityaffairs.co/wordpress/98614/cyber-crime/nrc-health-ransomware.html;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
66;25/02/2020;?;La Salle County;La Salle County is hit with a PwndLocker ransomware attack.;Malware;O Public administration and defence, compulsory social security;CC;US;https://securityaffairs.co/wordpress/98614/cyber-crime/nrc-health-ransomware.html;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
67;25/02/2020;?;Single Individuals;Researchers from Cybaze/Yoroi ZLab discover a new campaign exploiting the Coronavirus theme to distribute the Remcos RAT.;Malware;X Individual;CC;>1;https://securityaffairs.co/wordpress/98614/cyber-crime/nrc-health-ransomware.html;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
68;25/02/2020;?;Reprint Mint;Researchers from Sanguine Security reveal that attackers successfully implanted multiple skimmers, for 30 months on Reprint Mint photo store.;Malicious Script Injection;G Wholesale and retail trade;CC;US;https://securityaffairs.co/wordpress/98614/cyber-crime/nrc-health-ransomware.html;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
69;25/02/2020;"tonyredball
solarsalvador1234";Vulnerable Wordpress sites;Other Cybercriminals are taking advantage of the security flaws reported recently in popular WordPress plugins (ThemeGrill Demo Importer, Profile Builder, and Duplicator).;Wordpress plugins vulnerabilities;Y Multiple Industries;CC;>1;https://securityaffairs.co/wordpress/98614/cyber-crime/nrc-health-ransomware.html;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
70;25/02/2020;?;NRC Health;NRC Health discloses that it was hit by a ransomware attack that took place on February 11.;Malware;M Professional scientific and technical activities;CC;US;https://securityaffairs.co/wordpress/98614/cyber-crime/nrc-health-ransomware.html;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
71;25/02/2020;?;Undisclosed target;Researchers from Sophos reveal the details of Cloud Snooper, a sophisticated malware hiding in the cloud, probably backed by an advanced state sponsored actor.;Unknown;Z Unknown;CE;N/A;https://www.theregister.co.uk/2020/02/28/southern_water_phishing/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
72;25/02/2020;;Overlake Medical Center & Clinics;Overlake Medical Center & Clinics reveals to have been hit by a phishing attack from Dec. 6 to 9, 2019.;Account Hijacking;Q Human health and social work activities;CC;US;https://www.theregister.co.uk/2020/02/28/southern_water_phishing/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
73;25/02/2020;?;Advocate Aurora Health;"The personal information of some current and former Advocate Aurora Health employees, including their Social Security numbers and bank accounts, might have been compromised in an email phishing campaign.
";Account Hijacking;Q Human health and social work activities;CC;US;https://www.theregister.co.uk/2020/02/28/southern_water_phishing/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
74;25/02/2020;?;Gadsden Independent School District (GISD);Gadsden Independent School District (GISD) shuts down its internet and communication systems, after a RYUK ransomware attack.;Malware;P Education;CC;US;https://www.theregister.co.uk/2020/02/28/southern_water_phishing/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
75;25/02/2020;?;Hutt Valley High School;Hutt Valley High School reveals that it was hit with a cyber attack.;Unknown;P Education;CC;NZ;https://www.theregister.co.uk/2020/02/28/southern_water_phishing/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
76;26/02/2020;?;Clearview AI;Clearview AI discloses to its customers that an intruder “gained unauthorized access” to its list of customers, to the number of user accounts those customers had set up, and to the number of searches its customers have conducted.;Misconfiguration;M Professional scientific and technical activities;CC;US;https://www.theregister.co.uk/2020/02/28/southern_water_phishing/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
77;26/02/2020;?;Bretagne Télécom;Cloud services provider Bretagne Télécom is hacked by the threat actors behind the DoppelPaymer Ransomware using CVE-2019-19781.;Malware;M Professional scientific and technical activities;CC;FR;https://www.theregister.co.uk/2020/02/28/southern_water_phishing/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
78;26/02/2020;?;Multiple targets;Attackers are actively scanning the Internet for Microsoft Exchange Servers vulnerable to the CVE-2020-0688 remote code execution.;CVE-2020-0688 vulnerability;Y Multiple Industries;CC;>1;https://www.theregister.co.uk/2020/02/28/southern_water_phishing/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
79;26/02/2020;?;Multiple targets;Researchers from Malwarebytes discover Magecart actors cloaking their credit card skimmers using fake content delivery network domains.;Malicious Script Injection;Y Multiple Industries;CC;>1;https://www.theregister.co.uk/2020/02/28/southern_water_phishing/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
80;26/02/2020;?;Southern Water;British utility Southern Water is the victim of a phishing attack, resulting in a shutdown of some of the company's systems.;Account Hijacking;D Electricity gas steam and air conditioning supply;CC;UK;https://www.theregister.co.uk/2020/02/28/southern_water_phishing/;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
81;26/02/2020;Cobalt Ulster (AKA MuddyWater, Seedworm, TEMP.Zagros, and Static Kitten);Governmental organizations in Turkey, Jordan, Iraq along with intergovernmental and other agencies in Georgia and Azerbaijan.;Researchers from Secureworks reveal the details of the latest cyber espionage campaign carried out by the Iranian state-sponsored actor Cobalt Ulster;Targeted Attack;O Public administration and defence, compulsory social security;CE;>1;https://www.forbes.com/sites/thomasbrewster/2020/02/28/fbi-warned-of-fraudsters-paradise-up-to-130000-hacked-asus-routers-on-sale-for-a-few-dollars/#79a330d82009;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
82;26/02/2020;?;Rady’s Children’s Hospital;"Rady’s Children’s Hospital notifies patients whose data were accessed via an ""open port"" on June 2019, and January 2020.";Unknown;Q Human health and social work activities;CC;US;https://www.forbes.com/sites/thomasbrewster/2020/02/28/fbi-warned-of-fraudsters-paradise-up-to-130000-hacked-asus-routers-on-sale-for-a-few-dollars/#79a330d82009;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
83;27/02/2020;?;Barbara Corcoran;Barbara Corcoran, a renowned real-estate broker and business expert, admits she lost $380,000 via a BEC scam.;Business Email Compromise;L Real estate activities;CC;US;https://www.forbes.com/sites/thomasbrewster/2020/02/28/fbi-warned-of-fraudsters-paradise-up-to-130000-hacked-asus-routers-on-sale-for-a-few-dollars/#79a330d82009;Paolo Passeri					;2020-03-17T10:01:13+00:00;12,802
